Name,Objective,Step,Expected Result,Labels
SMK-001 - Portal home page,Confirm the lab is available for further checks.,Open the confirmed lab URL from Plan setup. Inspect the home page and its main navigation.,The home page and main navigation load; no blocking error prevents interaction.,Smoke
SMK-002 - Valid learner login,Confirm a registered learner can access their dashboard.,Start signed out. Enter the prepared LEARNER credentials and select Sign in.,The authenticated dashboard opens and identifies LEARNER; protected learner content is accessible.,Smoke
SMK-003 - Incorrect password rejected,Confirm invalid credentials do not grant access.,"Start signed out. Enter the LEARNER email and IncorrectPassword!2026, prepared as an incorrect value for this account. Select Sign in.",A visible login error is shown. The session remains unauthenticated and the dashboard is not accessible.,Smoke
SMK-004 - Open course catalog,Confirm the learner can reach the catalog.,Sign in as LEARNER. Select the course catalog from the home-page navigation.,The catalog opens and includes the prepared published COURSE.,Smoke
SMK-005 - Find a known course,Confirm a known course can be found by keyword.,"Sign in as LEARNER. Search the catalog for Testing, which appears in the prepared COURSE title.",Results include the expected COURSE ID and title recorded in Plan setup.,Smoke
SMK-006 - Open course details,Confirm essential course details are available.,Sign in as LEARNER. Open the prepared COURSE from the catalog or search results.,The details identify the expected COURSE and show its description and enrollment action.,Smoke
SMK-007 - Add a course to the enrollment list,Confirm adding a course changes the selection list.,"Sign in as LEARNER with COURSE absent from the enrollment list. Open COURSE, select its add action, then open the enrollment list.",A confirmation is shown and COURSE appears once in the enrollment list.,Smoke
SMK-008 - Dashboard shows known user data,Confirm the dashboard reflects the prepared learner data.,"Sign in as HISTORY. Open the dashboard and compare its greeting, recent activity and enrolled courses with the recorded fixture values.",The greeting identifies HISTORY; the expected enrollment and mock-payment activity and enrolled-course records are displayed.,Smoke
SMK-009 - Return home from dashboard,Confirm the main navigation returns to the portal home page.,"Sign in as LEARNER. From the dashboard, select MindBridge in the header.",The portal home page loads and its main navigation is usable.,Smoke
SMK-010 - Logout removes protected access,Confirm logout ends access to the learner session.,"Sign in as LEARNER and open the dashboard. Select Log out, then request the protected dashboard again. Record the unauthenticated state and access result.",The header shows Log in and Register. The protected dashboard requires authentication and does not expose learner content.,Smoke
